################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  123.500  -10.250    0.000    3.067
  123.500  -10.500    0.000    3.068
  123.500  -10.750    0.000    3.035
  123.500  -11.000    0.000    3.008
  123.500  -11.250    0.000    3.000
  123.750   -7.500    0.000    3.000
  123.750   -7.750    0.000    2.998
  123.750   -8.000    0.000    3.002
  123.750   -8.250    0.000    3.048
  123.750   -8.500    0.000    3.000
  123.750   -8.750    0.000    2.944
  123.750   -9.000    0.000    2.966
  123.750   -9.250    0.000    3.085
  123.750   -9.500    0.000    2.792
  123.750   -9.750    0.000    2.808
  123.750  -10.000    0.000    3.032
  123.750  -10.250    0.000    3.048
  123.750  -10.500    0.000    3.071
  123.750  -10.750    0.000    3.033
  123.750  -11.000    0.000    3.009
  123.750  -11.250    0.000    3.000
  124.000   -7.500    0.000    3.000
  124.000   -7.750    0.000    2.987
  124.000   -8.000    0.000    2.952
  124.000   -8.250    0.000    2.961
  124.000   -8.500    0.000    2.966
  124.000   -8.750    0.000    3.104
  124.000   -9.000    0.000    3.065
  124.000   -9.250    0.000    3.121
  124.000   -9.500    0.000    2.812
  124.000   -9.750    0.000    2.687
  124.000  -10.000    0.000    2.998
  124.000  -10.250    0.000    3.038
  124.000  -10.500    0.000    3.057
  124.000  -10.750    0.000    3.022
  124.000  -11.000    0.000    3.008
  124.000  -11.250    0.000    3.000
  124.250   -7.500    0.000    3.000
  124.250   -7.750    0.000    2.980
  124.250   -8.000    0.000    2.920
  124.250   -8.250    0.000    2.965
  124.250   -8.500    0.000    2.823
  124.250   -8.750    0.000    3.045
  124.250   -9.000    0.000    3.219
  124.250   -9.250    0.000    3.149
  124.250   -9.500    0.000    3.010
  124.250   -9.750    0.000    2.805
  124.250  -10.000    0.000    2.935
  124.250  -10.250    0.000    3.027
  124.250  -10.500    0.000    3.032
  124.250  -10.750    0.000    3.012
  124.250  -11.000    0.000    3.006
  124.250  -11.250    0.000    3.000
  124.500   -7.500    0.000    3.000
  124.500   -7.750    0.000    2.984
  124.500   -8.000    0.000    2.957
  124.500   -8.250    0.000    3.019
  124.500   -8.500    0.000    2.848
  124.500   -8.750    0.000    3.265
  124.500   -9.000    0.000    3.463
  124.500   -9.250    0.000    3.088
  124.500   -9.500    0.000    2.852
  124.500   -9.750    0.000    2.736
  124.500  -10.000    0.000    2.849
  124.500  -10.250    0.000    2.997
  124.500  -10.500    0.000    3.010
  124.500  -10.750    0.000    3.008
  124.500  -11.000    0.000    3.005
  124.500  -11.250    0.000    3.000
  124.750   -7.500    0.000    3.000
  124.750   -7.750    0.000    2.994
  124.750   -8.000    0.000    3.011
  124.750   -8.250    0.000    2.941
  124.750   -8.500    0.000    2.835
  124.750   -8.750    0.000    3.592
  124.750   -9.000    0.000    3.523
  124.750   -9.250    0.000    2.902
  124.750   -9.500    0.000    2.891
  124.750   -9.750    0.000    2.964
  124.750  -10.000    0.000    3.002
  124.750  -10.250    0.000    3.013
  124.750  -10.500    0.000    3.007
  124.750  -10.750    0.000    3.008
  124.750  -11.000    0.000    3.005
  124.750  -11.250    0.000    3.000
  125.000   -7.500    0.000    3.000
  125.000   -7.750    0.000    3.007
  125.000   -8.000    0.000    3.059
  125.000   -8.250    0.000    2.960
  125.000   -8.500    0.000    2.893
  125.000   -8.750    0.000    3.600
  125.000   -9.000    0.000    2.966
  125.000   -9.250    0.000    2.542
  125.000   -9.500    0.000    2.875
  125.000   -9.750    0.000    3.069
  125.000  -10.000    0.000    3.045
  125.000  -10.250    0.000    3.016
  125.000  -10.500    0.000    3.010
  125.000  -10.750    0.000    3.009
  125.000  -11.000    0.000    3.005
  125.000  -11.250    0.000    3.000
  125.250   -7.500    0.000    3.000
  125.250   -7.750    0.000    3.019
  125.250   -8.000    0.000    3.097
  125.250   -8.250    0.000    3.081
  125.250   -8.500    0.000    2.798
  125.250   -8.750    0.000    3.245
  125.250   -9.000    0.000    2.793
  125.250   -9.250    0.000    2.697
  125.250   -9.500    0.000    2.970
  125.250   -9.750    0.000    3.063
  125.250  -10.000    0.000    3.035
  125.250  -10.250    0.000    3.015
  125.250  -10.500    0.000    3.011
  125.250  -10.750    0.000    3.007
  125.250  -11.000    0.000    3.003
  125.250  -11.250    0.000    3.000
  125.500   -7.500    0.000    3.000
  125.500   -7.750    0.000    3.031
  125.500   -8.000    0.000    3.118
  125.500   -8.250    0.000    3.192
  125.500   -8.500    0.000    2.736
  125.500   -8.750    0.000    3.199
  125.500   -9.000    0.000    2.990
  125.500   -9.250    0.000    2.911
  125.500   -9.500    0.000    3.034
  125.500   -9.750    0.000    3.046
  125.500  -10.000    0.000    3.021
  125.500  -10.250    0.000    3.013
  125.500  -10.500    0.000    3.009
  125.500  -10.750    0.000    3.004
  125.500  -11.000    0.000    3.000
  125.500  -11.250    0.000    3.000
  125.750   -7.500    0.000    3.000
  125.750   -7.750    0.000    3.037
  125.750   -8.000    0.000    3.105
  125.750   -8.250    0.000    3.250
  125.750   -8.500    0.000    2.901
  125.750   -8.750    0.000    3.085
  125.750   -9.000    0.000    2.991
  125.750   -9.250    0.000    2.981
  125.750   -9.500    0.000    3.039
  125.750   -9.750    0.000    3.022
  125.750  -10.000    0.000    3.014
  125.750  -10.250    0.000    3.011
  125.750  -10.500    0.000    3.005
  125.750  -10.750    0.000    3.000
  125.750  -11.000    0.000    2.998
  125.750  -11.250    0.000    3.000
  126.000   -7.500    0.000    3.000
  126.000   -7.750    0.000    3.039
  126.000   -8.000    0.000    3.099
  126.000   -8.250    0.000    3.294
  126.000   -8.500    0.000    2.974
  126.000   -8.750    0.000    2.677
  126.000   -9.000    0.000    2.988
  126.000   -9.250    0.000    3.001
  126.000   -9.500    0.000    3.015
  126.000   -9.750    0.000    3.010
